theta       Dist 
163.94       01210.00
164.78       01198.25
165.78       01191.25
166.64       01186.00
167.59       01185.25
168.52       01183.00
169.42       01178.75
170.30       01171.75
171.27       01171.50
172.12       01171.00
173.03       01170.50
173.95       01166.75
174.83       01169.25
175.75       01167.50
176.67       01169.00
177.62       01165.00
178.47       01168.75
179.44       01168.25
180.28       01172.25
181.27       01179.00
182.11       01179.50
183.02       01184.00
183.92       01184.75
184.83       01187.75
185.72       01189.00
186.64       01189.75
187.53       01194.00
188.48       01198.25
189.36       01198.75
190.27       01204.00
191.14       01212.50
192.09       01220.75
192.97       01230.00
193.84       01278.75
194.77       01291.50
195.36       01688.25
196.50       00000.00
197.20       01706.00
198.09       01688.25
198.98       01715.50
200.14       00000.00
200.78       01762.75
201.69       01762.75
202.59       01762.75
203.50       01762.75
204.41       01762.75
205.33       01762.75
206.55       00000.00
207.45       00000.00
208.38       00000.00
209.25       01924.25
210.16       01938.50
211.06       01965.00
211.97       01982.00
212.91       02002.25
213.81       02021.00
214.72       02038.50
215.61       02061.25
216.56       02084.50
217.45       02107.50
218.38       02120.00
219.31       02154.00
220.20       02182.50
221.14       02200.50
222.03       02230.00
222.97       02272.50
223.88       02295.75
224.77       02329.00
225.67       02371.25
226.62       02395.25
227.50       02442.25
228.44       02455.50
229.36       02480.00
230.27       02479.75
231.20       02470.50
232.14       02471.00
232.84       02487.75
233.75       02486.25
234.62       02498.75
235.55       02501.75
236.45       02506.25
237.38       02525.75
238.30       02512.75
239.22       02538.75
240.14       02544.25
241.03       02563.50
241.94       02577.75
242.83       02582.50
243.77       02589.00
244.69       02590.75
245.58       02610.00
246.50       02615.75
247.42       02634.25
248.31       02655.25
249.23       02675.75
250.11       02695.00
251.05       02702.50
251.94       02740.25
252.86       02744.25
253.77       02783.50
254.67       02792.00
255.59       02813.50
256.48       02818.75
257.38       02815.50
258.31       02793.50
259.20       02789.25
260.11       02787.00
261.05       02770.00
261.97       02752.50
262.86       02751.50
263.77       02747.75
264.69       02764.25
265.72       02198.50
266.66       02193.25
267.56       02184.50
268.45       02183.25
269.36       02182.75
270.30       02171.00
271.22       02187.00
272.11       02183.00
273.03       02184.75
273.92       02185.75
274.84       02182.25
275.78       02196.00
276.69       02211.50
277.59       02199.75
278.48       02199.25
279.42       02211.25
280.31       02214.25
281.27       02218.25
282.17       02228.50
283.06       02238.75
284.00       02242.75
284.89       02246.25
285.80       02259.25
286.75       02270.75
287.66       02296.75
288.55       02292.50
289.48       02298.25
290.39       02312.75
291.30       02327.50
292.17       02342.50
